Store Name,Address,Region,Product,Draw Date,Value
SDM #635 - SOUTHGATE,2515 BANK ST K1V-8R9 OTTAWA,OTTAWA,Lotto Max,11-Aug-2023,55000000.0
MAC'S CONVENIENCE STORES,7887 TECUMSEH RD E N8T-1G3 WINDSOR,WINDSOR,Lotto Max,06-Jun-2023,35000000.0
CNIB WM - ORLEANS,3900 INNES RD K1C-1T1 ORLEANS,ORLEANS,Lotto 649,12-Aug-2023,5000000.0
SHELL,4685 CENTRAL PKY E L4Z-2E4 MISSISSAUGA,MISSISSAUGA,Lotto 649,01-Mar-2023,5000000.0
SHOP RITE CONVENIENCE,5051 BASELINE RD L0E-1R0 SUTTON WEST,WEST,Lotto 649,17-May-2023,5000000.0
ESSO GAS STATION,1645 NORTH SERVICE RD L2A-6T8 FORT ERIE,ERIE,Ontario 49,01-Mar-2023,2000000.0
LITTLE SHORT STOP STORE #1020,501 KRUG ST N2B-1L3 KITCHENER,KITCHENER,Ontario 49,26-Jul-2023,2000000.0
AVONDALE FITCH/WELLAND,256 FITCH ST L3C-4W5 WELLAND,WELLAND,Lotto 649,11-Mar-2023,1666666.7
CNC VARIETY & GAS STATION,195 WATERLOO ST N3A-1S4 NEW HAMBURG,HAMBURG,Lotto 649,11-Mar-2023,1666666.7
Q MARKET,925 RATHBURN RD E L4W-4C3 MISSISSAUGA,MISSISSAUGA,Lottario,29-Jul-2023,1073789.7
B & J VARIETY,209 GRAHAM ST N0L-2P0 WEST LORNE,LORNE,Encore - Ontario 49,11-Mar-2023,1000000.0
BECKER'S 80416A,7164 AIRPORT RD L4T-2H2 MISSISSAUGA,MISSISSAUGA,Encore - Lotto Max,17-Mar-2023,1000000.0
BIG BEE FOOD MART,305 MELVIN AVE L8H-2K6 HAMILTON,HAMILTON,Lotto 649,26-Jul-2023,1000000.0
CANADIAN TIRE GAS BAR MIDLAND,9315 HWY 93 L4R-4K4 MIDLAND,MIDLAND,Lotto 649,03-Jun-2023,1000000.0
CANADIAN TIRE GAS+ TRENTON,289 DUNDAS ST E K8V-1M1 TRENTON,TRENTON,Lotto Max,21-Jul-2023,1000000.0
CIRCLE K # 1763,682824 ROAD 68 N0M-2M0 THAMESFORD,THAMESFORD,Lotto 649,29-Mar-2023,1000000.0
CIRCLE K #1734,2660 MAJOR MACKENZIE DR L6A-1C1 MAPLE,MAPLE,Lotto 649,05-Jul-2023,1000000.0
EGANVILLE FOODLAND,8754 HWY 60 K0J-1T0 EGANVILLE,EGANVILLE,Lotto Max,19-May-2023,1000000.0
ESSO,1000 ONTARIO RD L3B-5E4 WELLAND,WELLAND,Lotto Max,06-Jun-2023,1000000.0
ESSO/CIRCLE K #52477,1500 FINCH AVE E M2J-4Y6 NORTH YORK,YORK,Lotto 649,25-Mar-2023,1000000.0
ESSO/CIRCLE K #52528,5008 HURONTARIO ST L5R-1B2 MISSISSAUGA,MISSISSAUGA,Lotto Max,26-May-2023,1000000.0
